link,pdf_links
https://www.bnm.gov.my/-/garis-panduan-mengenai-capital-adequacy-framework-for-islamic-banks-cafib-disclosure-requirements-pillar-3-kini-boleh-dimuat-turun,['documents/20124/761709/20100101_B_CA_0008.pdf']
https://www.bnm.gov.my/-/jualan-duit-syiling-peringatan,[]
https://www.bnm.gov.my/-/pan-asian-csd-alliance-on-improvement-to-post-trade-processing-infrastructure,[]
https://www.bnm.gov.my/-/garis-panduan-surat-pekeliling-bnm-shariah-governance-framework-for-islamic-financial-institutions-1,['documents/20124/761709/20110101_S_G_0001.pdf']
https://www.bnm.gov.my/-/maklum-balas-dialu-alukan-cadangan-rangka-kerja-perlindungan-motor-asas-kemaskini-hasil-perbincangan-dan-maklum-balas-orang-ramai-,['documents/20124/761709/slaid_TPBID.pdf']
https://www.bnm.gov.my/-/the-2009-annual-insurance-statistics-is-now-available.,[]
https://www.bnm.gov.my/-/press-release-issued-by-securities-commission-swisscash-court-approves-criteria-for-restitution,[]
https://www.bnm.gov.my/-/slides-are-now-available-for-download-briefing-sessions-on-annual-report-2009-and-financial-stability-payment-systems-report-2009,[]
https://www.bnm.gov.my/-/bank-negara-malaysia-scholarship-award-2010-/-2011-application-closed-,[]
https://www.bnm.gov.my/-/faqs-related-to-buying-or-selling-of-foreign-currency-and-faqs-related-to-money-changing-services.,[]
https://www.bnm.gov.my/-/baharu-diterbitkan-notis-berkenaan-pelaksanaan-basel-iii-implementation-of-basel-iii-1,['documents/20124/761706/12_nt_007_25.pdf']
https://www.bnm.gov.my/-/new-act-money-services-business-act-2011-act731-,[]
https://www.bnm.gov.my/-/key-events-at-sasana-kijang-and-lanai-kijang-november-december-2011-,[]
https://www.bnm.gov.my/-/bnm-website-scheduled-maintenance-on-friday-21st-october-2011-11.00-pm-1.00-am-,[]
https://www.bnm.gov.my/-/muat-turun-teks-ucapan-bajet-2012-oleh-perdana-menteri-malaysia-sekarang-1,"['documents/20124/761706/lampiran_budget2012_bm.pdf', 'documents/20124/761706/budget2012_bm.pdf']"
https://www.bnm.gov.my/-/resolusi-syariah-dalam-kewangan-islam-edisi-kedua-kini-diterbitkan-dalam-bahasa-inggeris-1,['documents/20124/9198675/shariah_resolutions_2nd_edition_EN.pdf']
https://www.bnm.gov.my/-/ketahui-lebih-lanjut-mengenai-sasana-kijang-melalui-risalah,['documents/20124/761706/Sasana_Kijang_Brochure.pdf']
https://www.bnm.gov.my/-/bnm-website-scheduled-maintenance-on-thursday-15th-september-2011-11.00-pm-1.00-am-,[]
https://www.bnm.gov.my/-/updates-guidelines-circulars-listing-on-bank-negara-malaysia-s-website-8,[]
https://www.bnm.gov.my/-/ringgit-newsletter-june-issue-is-now-available-for-download.,[]
https://www.bnm.gov.my/-/updates-guidelines-circulars-listing-on-bank-negara-malaysia-s-website,[]
https://www.bnm.gov.my/-/beware-of-scams-requesting-for-banking-information,[]
https://www.bnm.gov.my/-/beware-of-email-scam-requesting-for-banking-information-1,[]
https://www.bnm.gov.my/-/frequently-asked-questions-faqs-on-payment-for-trade-in-renminbi,[]
https://www.bnm.gov.my/-/updates-guidelines-circulars-listing-on-bank-negara-malaysia-s-website-9,[]
https://www.bnm.gov.my/-/buletin-ringgit-keluaran-april-pendidikan-kewangan-dan-pengguna-kini-boleh-dimuat-turun.,['documents/20124/761706/4_Ringgit_Newsletter.pdf']
https://www.bnm.gov.my/-/the-2010-annual-takaful-statistics-is-now-available.,[]
https://www.bnm.gov.my/-/penyenggaraan-berjadual-laman-sesawang-bnm-akan-bermula-pada-hari-jumaat-13-mei-pukul-11-malam-hingga-isnin-16-mei-2011-pukul-1-pagi-,[]
