link,pdf_links
https://www.bnm.gov.my/-/newly-published-circular-on-issuance-of-special-employment-pass-for-islamic-finance-expatriates-under-the-malaysia-international-islamic-financial-centre-mifc-initiative,[]
https://www.bnm.gov.my/-/newly-published-guidelines-on-introduction-of-new-products-for-insurance-companies-and-takaful-operators,['documents/20124/761709/18_guidelines_newproducts.pdf']
https://www.bnm.gov.my/-/newly-updated-microfinance-comparative-table,['documents/20124/761709/Comparative_table_Aug10_ENGLISH.pdf']
https://www.bnm.gov.my/-/individuals-wanted-by-bnm-suspected-for-committing-illegal-deposit-taking,[]
https://www.bnm.gov.my/-/newly-published-guidelines-on-financial-reporting-for-insurers,[]
https://www.bnm.gov.my/-/over-1-million-people-visited-bank-negara-malaysia-s-website,[]
https://www.bnm.gov.my/-/newly-published-guideline-on-capital-adequacy-framework-for-islamic-banks-cafib-disclosure-requirements-pillar-3-,['documents/20124/761709/20100101_B_CA_0008.pdf']
https://www.bnm.gov.my/-/commemorative-coins-available-for-sale,[]
https://www.bnm.gov.my/-/pan-asian-csd-alliance-on-improvement-to-post-trade-processing-infrastructure,['documents/20124/761709/White+Paper+CPM+June+2010.pdf']
https://www.bnm.gov.my/-/concept-paper-on-shariah-governance-framework-for-islamic-financial-institutions,['documents/20124/761709/20110101_S_G_0001.pdf']
https://www.bnm.gov.my/-/call-for-public-feedback-proposed-basic-motor-cover-framework-update-outcome-of-public-consultation-1,['documents/20124/761709/Discussion_Paper_TPBID.pdf']
https://www.bnm.gov.my/-/the-2009-annual-insurance-statistics-is-now-available.,[]
https://www.bnm.gov.my/-/press-release-issued-by-securities-commission-swisscash-court-approves-criteria-for-restitution,[]
https://www.bnm.gov.my/-/default-notice-19,['documents/20124/761709/AR2009briefing_sessions.pdf']
https://www.bnm.gov.my/-/bank-negara-malaysia-scholarship-award-2010-/-2011-application-closed-,[]
https://www.bnm.gov.my/-/faqs-related-to-buying-or-selling-of-foreign-currency-and-faqs-related-to-money-changing-services,[]
https://www.bnm.gov.my/-/newly-published-notification-on-the-implementation-of-basel-iii,['documents/20124/761706/12_nt_007_25.pdf']
https://www.bnm.gov.my/-/new-act-money-services-business-act-2011-act731-1,[]
https://www.bnm.gov.my/-/key-events-at-sasana-kijang-and-lanai-kijang-november-december-2011-1,[]
https://www.bnm.gov.my/-/web-maintenance-21102011,[]
https://www.bnm.gov.my/-/download-the-2012-budget-speech-by-prime-minister-of-malaysia-now,"['documents/20124/761706/attachment_budget2012_en.pdf', 'documents/20124/761706/budget2012_en.pdf']"
https://www.bnm.gov.my/-/shariah-resolutions-in-islamic-finance-second-edition-now-available-in-english,['documents/20124/9198675/shariah_resolutions_2nd_edition_EN.pdf']
https://www.bnm.gov.my/-/learn-more-about-sasana-kijang-by-reading-the-brochure,['documents/20124/761706/Sasana_Kijang_Brochure.pdf']
https://www.bnm.gov.my/-/web-maintenance-15092011,[]
https://www.bnm.gov.my/-/guidelines-circulars-listing-05092011,['documents/20124/761706/pd_SRR_15May2020.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-june-issue-is-now-available-for-download.,['documents/20124/791000/6_Ringgit_Newsletter.pdf']
https://www.bnm.gov.my/-/updates-guidelines-circulars-listing-on-bank-negara-malaysia-s-website,['documents/20124/761706/pd_SRR_15May2020.pdf']
https://www.bnm.gov.my/-/scam-bank-info-2806-2011,[]
https://www.bnm.gov.my/-/email-scam-15062011,[]
https://www.bnm.gov.my/-/frequently-asked-questions-faqs-on-payment-for-trade-in-renminbi,['documents/20124/761706/Renminbi_Brochure.pdf']
https://www.bnm.gov.my/-/guidelines-circulars-listing-08062011,['documents/20124/761706/Classification_Impairment_Provisions_for_LoansFinancing_20150406.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-april-issue-is-now-available-for-download.,['documents/20124/761706/4_Ringgit_Newsletter.pdf']
https://www.bnm.gov.my/-/the-2010-annual-takaful-statistics-is-now-available.,[]
https://www.bnm.gov.my/-/web-maintenance-13052011,[]
https://www.bnm.gov.my/-/ringgit-newsletter-march-issue-is-now-available-for-download.,['documents/20124/761706/3_Ringgit_Newsletter.pdf']
https://www.bnm.gov.my/-/guidelines-circulars-listing-11052011,['documents/20124/761706/20080112_IAT_PL_0001.pdf']
https://www.bnm.gov.my/-/guidelines-circulars-listing-10062011,['documents/20124/761706/gl_rbcinsurers_june2013.pdf']
https://www.bnm.gov.my/-/guidelines-circulars-listing-06052011,['documents/20124/761706/pd_SRR_20191113.pdf']
https://www.bnm.gov.my/-/fraudalert-status-28042011,[]
https://www.bnm.gov.my/-/notification-company-which-is-no-longer-permitted-to-conduct-remittance-business,[]
https://www.bnm.gov.my/-/ringgit-newsletter-february-issue-is-now-available-for-download.-1,['documents/20124/761706/2_Ringgit_Newsletter.pdf']
https://www.bnm.gov.my/-/the-2010-annual-insurance-statistics-is-now-available.,[]
https://www.bnm.gov.my/-/slides-are-now-available-for-download-briefing-sessions-on-annual-report-2010-and-financial-stability-payment-systems-report-2010,"['documents/20124/761706/03_20110323_analyst_DGMRAK.pdf', 'documents/20124/761706/02_20110323_analyst_DGMI.pdf', 'documents/20124/761706/01_20110323_press.pdf']"
https://www.bnm.gov.my/-/guidelines-circulars-listing-17032011,"['documents/20124/761706/01_statutory_20110315.pdf', 'documents/20124/761706/15_gl_fit_proper_for_key_responsible.pdf', 'documents/20124/761706/16_corporate_governance_20101224.pdf']"
https://www.bnm.gov.my/-/bank-negara-malaysia-scholarship-award-2011/2012-nurturing-malaysian-talents,[]
https://www.bnm.gov.my/-/guidelines-circulars-listing-01032011,[]
https://www.bnm.gov.my/-/bnm-website-scheduled-maintenance-10-p.m.-friday-january-21-until-7-a.m.-saturday-january-22-2011,[]
https://www.bnm.gov.my/-/guidelines-circulars-listing-19012011,[]
https://www.bnm.gov.my/-/notification-company-which-is-no-longer-permitted-to-conduct-remittance-business-2,[]
https://www.bnm.gov.my/-/beware-of-fraudulent-telephone-calls-e-mails-or-sms-requesting-personal-banking-information,[]
https://www.bnm.gov.my/-/newly-updated-guidelines-circulars-listing-on-bank-negara-malaysia-s-website,[]
https://www.bnm.gov.my/-/implementation-of-the-new-pidm-bill-2010,[]
https://www.bnm.gov.my/-/call-for-papers-bank-negara-malaysia-s-conference-on-monetary-policy-in-the-new-normal-,['documents/20124/761703/Call_for_Paper_MP_Conference2013.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-october-2012-issue-is-now-available-for-download,['documents/20124/761703/Ringgit_10_2012.pdf']
https://www.bnm.gov.my/-/newly-published-guidelines-on-risk-management-and-internal-controls-for-conduct-of-money-services-business-msb-,['documents/20124/761703/03_Guidelines_on_Risk_Management_and_Internal_Controls_EN.pdf']
https://www.bnm.gov.my/-/guidelines-circulars-schedule-of-shariah-advisory-council-meetings-for-2013,[]
https://www.bnm.gov.my/-/ringgit-newsletter-september-2012-issue-is-now-available-for-download,['documents/20124/761703/20121129_sept_Ringgit.pdf']
https://www.bnm.gov.my/-/newly-published-implementation-of-the-revised-rules-on-the-definition-of-capital-for-banking-institutions,[]
https://www.bnm.gov.my/-/newly-published-guidelines-on-data-management-and-mis-framework-for-development-financial-institutions,['documents/20124/761703/NA_DFI_FR_0002.pdf']
https://www.bnm.gov.my/-/call-for-public-feedback-concept-paper-financial-reporting-for-development-financial-institutions,['documents/20124/761703/cp_005_8.pdf']
https://www.bnm.gov.my/-/call-for-public-feedback-concept-paper-guidelines-on-risk-governance,['documents/20124/761703/cp_005_8.pdf']
https://www.bnm.gov.my/-/national-statistics-conference-2012-mystats-2012-enhancing-national-statistics-to-meet-public-and-private-sectors-needs-during-a-period-of-transformation-7-november-2012-sasana-kijang-kuala-lumpur,[]
https://www.bnm.gov.my/-/newly-published-guidelines-on-governance-and-operational-requirements-on-conduct-of-money-services-business-msb-,['documents/20124/761703/20121016_MSB_G_0002.pdf']
https://www.bnm.gov.my/-/ringgit-newsletter-august-issue-is-now-available-for-download,['documents/20124/761703/Ringgit+Ed28+Draft4_Aug+2012m.pdf']
https://www.bnm.gov.my/-/call-for-public-feedback-concept-paper-risk-management-and-internal-controls-for-conduct-of-money-services-business,[]
https://www.bnm.gov.my/-/download-the-2013-budget-speech-by-prime-minister-of-malaysia,['documents/20124/761703/bs13.pdf']
https://www.bnm.gov.my/-/peringatan-kepada-semua-pengguna-senarai-syarikat-dan-laman-sesawang-yang-tidak-diberi-kebenaran-atau-kelulusan-telah-dikemaskini.,[]
https://www.bnm.gov.my/-/ringgit-newsletter-july-issue-is-now-available-for-download,['documents/20124/761703/7_Ringgit_2012_s.pdf']
