link,pdf_links
https://www.bnm.gov.my/-/y2k-status-report-at-0830-hours,[]
https://www.bnm.gov.my/-/detailed-disclosure-of-international-reserves-as-at-end-november-2001-explanatory-notes,[]
https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-dalam-bulan-november-2001,['documents/20124/72668/i_bm-november.pdf']
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-14-dis-2001,[]
https://www.bnm.gov.my/-/penerbitan-bon-simpanan-malaysia-siri-03,[]
https://www.bnm.gov.my/-/kajian-risiko-penyelesaian-pertukaran-asing,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-30-nov-2001,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-oktober-2001-nota-penerangan,[]
https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-pada-bulan-oktober-2001,[]
https://www.bnm.gov.my/-/bnm-terbitkan-buku-wang-saku-dan-buku-perancangan-dan-penyata-kewangan-keluarga-2002,[]
https://www.bnm.gov.my/-/pemansuhan-larangan-ke-atas-pemberian-pinjaman-titian-bagi-pembangunan-projek-perumahan-melebihi-rm250-000-seunit,[]
https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-15-nov-2001-1,[]
https://www.bnm.gov.my/-/perkembangan-ekonomi-kewangan-malaysia-pada-suku-ketiga-2001,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-31-okt-2001,[]
https://www.bnm.gov.my/-/sesi-dialog-dengan-syarikat-insurans-dan-pengendali-takaful-1,[]
https://www.bnm.gov.my/-/seorang-lelaki-dikehendaki-untuk-membantu-siasatan-bnm,[]
https://www.bnm.gov.my/-/kematangan-bon-simpanan-malaysia-siri-02,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-september-2001-nota-penerangan,[]
https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-pada-bulan-september-2001,[]
https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-15-oct-2001-1,[]
https://www.bnm.gov.my/-/jualan-duit-syiling-peringatan-keluaran-bnm,[]
https://www.bnm.gov.my/-/enurunan-kadar-pinjaman-dan-liberalisasi-kriteria-kelayakan-tabung-tabung-khas,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-29-sep-2001,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-ogos-2001-nota-penerangan,[]
https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-pada-bulan-ogos-2001,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-14-sep-2001,[]
https://www.bnm.gov.my/-/pengurangan-kadar-campurtangan,[]
https://www.bnm.gov.my/-/penggunaan-sistem-perbankan-oleh-elemen-jenayah,[]
https://www.bnm.gov.my/-/perkhidmatan-perbankan-seperti-biasa-di-malaysia-hari-ini,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-30-ogos-2001,[]
https://www.bnm.gov.my/-/penerbitan-duit-syiling-peringatan-sempena-sukan-sea-xxi-2001,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-julai-2001-nota-penerangan-1,[]
https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-pada-bulan-julai-2001,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-15-ogos-2001,[]
https://www.bnm.gov.my/-/minggu-perbankan-islam-takaful,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-31-jul-2001,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-julai-2001-nota-penerangan,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-14-jul-2001,[]
https://www.bnm.gov.my/-/maklumat-lanjut-mengenai-notis-kawalan-pertukaran-ecm-yang-baru-bhg.-21,[]
https://www.bnm.gov.my/-/pelancaran-duit-syiling-bulion-kijang-emas,[]
https://www.bnm.gov.my/-/soalan-lazim-berkenaan-duit-syiling-bulion-kijang-emas,[]
https://www.bnm.gov.my/-/maklumat-lanjut-mengenai-notis-kawalan-pertukaran-ecm-yang-baru-bhg.-20,[]
https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-29-jun-2001,[]
https://www.bnm.gov.my/-/status-pematuhan-penginsurans-kepada-keperluan-modal-berbayar-yang-baru,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-mei-2001-nota-penerangan,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-15-jun-2001,[]
https://www.bnm.gov.my/-/maklumat-lanjut-mengenai-notis-kawalan-pertukaran-ecm-yang-baru-bhg.-19,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-31-mei-2001,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-april-2001-nota-penerangan,[]
https://www.bnm.gov.my/-/memerangi-kegiatan-wang-haram-jenayah-tanpa-batasan,[]
https://www.bnm.gov.my/-/labuan-iofc-kawasan-undang-undang-berisiko-rendah-bagi-kegiatan-wang-haram,[]
https://www.bnm.gov.my/-/ibbm-akan-melancarkan-program-latihan-anti-kegiatan-wang-haram,[]
https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-30-apr-2001,[]
https://www.bnm.gov.my/-/wang-kertas-baru-rm10-rm50-dan-rm100-yang-mengandungi-tandatangan-gabenor-semasa,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-mac-2001-nota-penerangan,[]
https://www.bnm.gov.my/-/jawapan-kepada-pertanyaan-mengenai-duit-syiling-rm1,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-14-apr-2001,[]
https://www.bnm.gov.my/-/mesyuarat-tahunan-cagamas-berhad-ke-14,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-31-mac-2001,[]
https://www.bnm.gov.my/-/seminar-undang-undang-perbankan-dan-kewangan-2001-perbankan-dan-perkembangan-ict-isu-isu-perundangan-,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-februari-2001-nota-penerangan,[]
https://www.bnm.gov.my/-/laporan-tahunan-bnm-2000-1,[]
https://www.bnm.gov.my/-/laporan-tahunan-insurans-2000-1,[]
https://www.bnm.gov.my/-/laporan-tahunan-takaful-2000,[]
https://www.bnm.gov.my/-/projek-stars-oleh-ibbm,[]
https://www.bnm.gov.my/-/kedudukan-malaysian-national-reinsurance-berhad-dalam-pelan-induk-sektor-kewangan,[]
https://www.bnm.gov.my/-/wang-kertas-rm500-dan-rm1000-boleh-ditukar-di-bnm,[]
https://www.bnm.gov.my/-/maklumat-lanjut-mengenai-notis-kawalan-pertukaran-ecm-yang-baru-bhg.-18,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-januari-2001-nota-penerangan,[]
https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-15-feb-2001,[]
https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-disember-2000-nota-penerangan,[]
https://www.bnm.gov.my/-/garis-panduan-operasi-sistem-levi,[]
https://www.bnm.gov.my/-/maklumat-lanjut-mengenai-notis-kawalan-pertukaran-ecm-yang-baru-bhg.-17,[]
https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-31-dec-2000-1,[]
https://www.bnm.gov.my/-/pemakluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-november-2002-nota-penerangan,[]
https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-dalam-bulan-november-2002,[]
https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-13-december-2002,[]
https://www.bnm.gov.my/-/bnm-menerbitkan-buku-wang-saku-dan-buku-perancangan-dan-penyata-kewangan-keluarga-bagi-tahun-2003>BNM Menerbitkan Buku Wang Saku Dan Buku Perancangan Dan Penyata Kewangan Keluarga,"['documents/20124/761691/faq_initiative_onshore_financial_market_v6.pdf', 'documents/20124/39730/Guidelines-on-Currency-Quality-and-Handling-Suspected-Counterfeits-Dec2022.pdf']"
https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-30-november-2002,[]
https://www.bnm.gov.my/-/pemakluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-oktober-2002-nota-penerangan,[]
https://www.bnm.gov.my/-/perkembangan-ekonomi-dan-kewangan-malaysia-pada-suku-ketiga-2002,[]
https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-dalam-bulan-oktober-2002,['documents/20124/73168/i_bm-okt.pdf']
https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-15-november-2002,[]
https://www.bnm.gov.my/-/sesi-dialog-bersama-penginsurans-dan-pengendali-takaful,[]
https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-31-october-2002,[]
