date,title,link
30 Jun 2000,Makluman Terperinci bagi Rizab Antarabangsa pada akhir bulan Mei 2000: Nota Penerangan,https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-mei-2000-nota-penerangan
30 Jun 2000,Perlantikan Dr. Subarjo Joyosumarto sebagai Pengarah Eksekutif SEACEN,https://www.bnm.gov.my/-/perlantikan-dr.-subarjo-joyosumarto-sebagai-pengarah-eksekutif-seacen
09 Jun 2000,Pelancaran Program Keusahawanan,https://www.bnm.gov.my/-/pelancaran-program-keusahawanan
30 Mei 2000,Makluman Terperinci bagi Rizab Antarabangsa pada akhir bulan April 2000: Nota Penerangan,https://www.bnm.gov.my/-/makluman-terperinci-bagi-rizab-antarabangsa-pada-akhir-bulan-april-2000-nota-penerangan
02 Mei 2000,Pengeluaran Duit Syiling Peringatan Piala Thomas/Uber 2000,https://www.bnm.gov.my/-/pengeluaran-duit-syiling-peringatan-piala-thomas/uber-2000
24 Apr 2000,Kenyataan Akhbar oleh Dr. Zeti Akhtar Aziz atas pelantikan beliau sebagai Gabenor BNM,https://www.bnm.gov.my/-/kenyataan-akhbar-oleh-dr.-zeti-akhtar-aziz-atas-pelantikan-beliau-sebagai-gabenor-bnm
10 Apr 2000,Serbuan ke atas Pengendali Pengambilan Deposit Secara Haram,https://www.bnm.gov.my/-/serbuan-ke-atas-pengendali-pengambilan-deposit-secara-haram
08 Apr 2000,Pengeluaran Wang dari Mesin ATM Secara Tidak Sah,https://www.bnm.gov.my/-/pengeluaran-wang-dari-mesin-atm-secara-tidak-sah
07 Apr 2000,BNM Menganjurkan Pameran Seni,https://www.bnm.gov.my/-/bnm-menganjurkan-pameran-seni
04 Apr 2000,Serbuan ke atas satu lagi pejabat BNI Agency,https://www.bnm.gov.my/-/serbuan-ke-atas-satu-lagi-pejabat-bni-agency
31 Mac 2000,Penamatan Tabung untuk Industri Kecil dan Sederhana & Tabung Industri Bumiputera,https://www.bnm.gov.my/-/penamatan-tabung-untuk-industri-kecil-dan-sederhana-tabung-industri-bumiputera
29 Mac 2000,Sidang Akhbar Laporan Tahunan BNM 1999,https://www.bnm.gov.my/-/sidang-akhbar-laporan-tahunan-bnm-1999
28 Mac 2000,Kalendar Lelongan Sekuriti Kerajaan bagi Tahun 2000,https://www.bnm.gov.my/-/kalendar-lelongan-sekuriti-kerajaan-bagi-tahun-2000
27 Mac 2000,Serbuan ke atas Pengurup Wang Asing Haram di Langkawi,https://www.bnm.gov.my/-/serbuan-ke-atas-pengurup-wang-asing-haram-di-langkawi
22 Mac 2000,BNM sedang memantau Agen dan Agensi Syarikat BNI,https://www.bnm.gov.my/-/bnm-sedang-memantau-agen-dan-agensi-syarikat-bni
20 Mac 2000,Laporan Tahunan Ketua Pengarah Insurans dan Takaful 1999,https://www.bnm.gov.my/-/laporan-tahunan-ketua-pengarah-insurans-dan-takaful-1999
20 Mac 2000,Kerahsiaan Perbankan,https://www.bnm.gov.my/-/kerahsiaan-perbankan
29 Feb 2000,Semua Institusi Kewangan Berjaya Memasuki 29 Februari Tanpa Sebarang Masalah,https://www.bnm.gov.my/-/semua-institusi-kewangan-berjaya-memasuki-29-februari-tanpa-sebarang-masalah
26 Feb 2000,Perjumpaan BNM dengan Bank-bank Teras,https://www.bnm.gov.my/-/perjumpaan-bnm-dengan-bank-bank-teras
14 Feb 2000,Penggabungan Institusi Perbankan Tempatan,https://www.bnm.gov.my/-/penggabungan-institusi-perbankan-tempatan
10 Feb 2000,Pelancaran Tabung Projek Usahawan Bumiputera (TPUB),https://www.bnm.gov.my/-/pelancaran-tabung-projek-usahawan-bumiputera-tpub-
31 Jan 2000,Penggabungan dan Pengukuhan Institusi Perbankan Tempatan,https://www.bnm.gov.my/-/penggabungan-dan-pengukuhan-institusi-perbankan-tempatan-1
28 Jan 2000,Siaran Akhbar oleh Persidangan Gabenor-Gabenor SEACEN ke-35,https://www.bnm.gov.my/-/malaysia-menjadi-tuan-rumah-persidangan-gabenor-gabenor-seacen-ke-35ommunique-of-the-thirty-fifth-conference-of-governors-of-south-east-asian-central-banks-seacen-
11 Jan 2000,Rizab Antarabangsa BNM pada 31 Dis 1999,https://www.bnm.gov.my/-/international-reserves-of-bnm-as-at-31-dec-1999
10 Jan 2000,Malaysia menjadi Tuan Rumah Persidangan Gabenor-Gabenor SEACEN Ke-35,https://www.bnm.gov.my/-/malaysia-menjadi-tuan-rumah-persidangan-gabenor-gabenor-seacen-ke-35
03 Jan 2000,Sistem Komputer Institusi Kewangan berjaya memasuki Tahun 2000,https://www.bnm.gov.my/-/sistem-komputer-institusi-kewangan-berjaya-memasuki-tahun-2000
01 Jan 2000,Laporan Status Y2K pada jam 0200,https://www.bnm.gov.my/-/laporan-status-y2k-pada-jam-0200
01 Jan 2000,Laporan Status Y2K pada jam 1900,https://www.bnm.gov.my/-/laporan-status-y2k-pada-jam-1900
01 Jan 2000,Y2K Status Report at 0830 hours,https://www.bnm.gov.my/-/y2k-status-report-at-0830-hours
31 Dis 2001,Pemakluman Terperinci bagi Rizab Antarabangsa pada akhir bulan November 2001,https://www.bnm.gov.my/-/detailed-disclosure-of-international-reserves-as-at-end-november-2001-explanatory-notes
28 Dis 2001,Perkembangan Monetari dan Kewangan dalam bulan November 2001,https://www.bnm.gov.my/-/perkembangan-monetari-dan-kewangan-dalam-bulan-november-2001
21 Dis 2001,Rizab Antarabangsa BNM pada 14 Dis 2001,https://www.bnm.gov.my/-/rizab-antarabangsa-bnm-pada-14-dis-2001
18 Dis 2001,Penerbitan Bon Simpanan Malaysia Siri 03,https://www.bnm.gov.my/-/penerbitan-bon-simpanan-malaysia-siri-03
