0,1,2,3,4,5,6
2. menudung sesuatu dengan sesuatu yang lain,Pekap laok dengan tudong sangai.,[p«.kAp lAo/ d«.NAn tu.doN sA.NAj],Tudung lauk dengan tudung saji.,,,
2. menipu,"Jangan pecaya sangat cakap dia, dia tu nak pekena hang.",[dZA.NAn p«.tSA.jA sA.NAt tSA.kAp di.jA di.jA tu nA p«.k«.nA hAN],"Jangan percaya kata-katanya, dia itu hendak menipu awak.",,,
2 memukul seseorang,Memang patot pon dia kena pediah pasai dok suka sangat ambek tau hai orang.,[mE.mAN pA.tot pon di.jA k«.nA p«.di.jAh pA.sAj do su.kA sA.NAt Am.be tAw hAj o.ÒAN],Memang patutpun dia kena pukul sebab suka sangat ambil tahu hal orang.,,,
2. menyangah perbualan,"Cakap pandai sangat, kena payong teruih sengap.",[tSA.kAp pAn.dAj sA.NAt k«.nA pA.joN t«.ÒuC s«.NAp],"Bercakap pandai, kena sergah terus diam.",,,
2. tabung menyimpan duit,Orang simpan duet silin dalam onde-onde.,[.ÒAN sim.pAn du.wet si.lin dA.lAm on.dE.ondE],Orang menyimpan wang siling dalam tabung.,,,
2. kata yang digunakan hanya di akhir ayat yang berfungsi sebagai penegas,Sat lagi depa sampai kot no. Bukan jaoh sangat rumah depa tu.,[sAt lA.gi dE.pA sAm.pAj kot no bu.kAn.øA dZAoh sA.NAt Òu.mAh dE.pA tu],Sekejap lagi mereka sampai noh. Bukan jauh sangat rumah mereka itu.,,,
3. akan mendapat anak,Anak kecik dia baru umoq empat bulan dah nak muleh lagi.,[A.nA/ k«.tSi/ di.jA bA.Òu u.mo)Ö «m.pAt bu.lAn dAh nA/ mu.leh lA­.gi],"Anak kecilnya baru berumur empat bulan, dia akan mendapat anak lagi.",,,
2. akan mendapat kemahiran baru berkenaan bayi,"Bulan lepaih budak ni buleh merangkak, bulan ni nak muleh takteh kot.",[bu.lAn l«.pAC bu.dA/ ni bu.leh m«.ÒAN.kA/ bu.lAn ni nA/ mu.leh tA/.teh kot],"Bulan lepas budak ini boleh merangkak, bulan ini boleh tatih agaknya.",,,
2. berkenaan dengan wajah yang kurang menarik,"Kulet putih tu tak apa dah, tapi muka pot sikit.","[ku.let pu.teh tu tA/ A.pA dAh, tA.pi mu.kA pot si.kit]","Kulit putih tidak mengapa, tapi wajah kurang menarik.",,,
2. membuang air kecil,"Sapa pulak meruah bawah rumah ni, bau harin.",[sA.pA pu.lA/ m«.Òu.wAh bA.wAh Òu.mAh ni bAw hA.Òin],"Siapa pula yang membuang air kecil bawah rumah ini, bau haring.",,,
4. berkenaan dengan seseorang yang mempunyai anak yang ramai,Depa susah tapi anak merenyut.,[dE.pA su.sAh tA.pi A.nA/ m«.Ò«.øut],Mereka susah tapi anak ramai.,,,
3. terlalu banyak,Dekat nak raya orang merenyut kat stesen baih.,[d«.kAt nA/ ÒA.jA .ÒAN m«.Ò«.øut kAt stE.sen bAC],Menjelang hari raya orang terlalu ramai di stesen bas.,,,
2. rasa sakit atau sengal pada badan atau kepala,Merenyut kepala aku lepaih bejemoq kat padang.,[m«.Ò«.øut k«.pA.lA A.ku l«.pAC b«.j«.m)Ö kAt pA.dAN],Sakit kepala saya selepas berjemur di padang.,,,
2. gatal atau miang berkenaan perangai,"Kita ni pompuan, tak elok merenyau lagu tu.",[ki.tA ni pom.pu.wAn tA/ E.l/ m«.Ò«.øAw lA.gu tu],"Kita ini perempuan, tidak elok berperangai miang seperti itu.",,,
2. memakai perhiasan emas yang banyak dan berlebihan,Tok kalu tak merendeh tak pi makan kenuri.,[to/ kA.lu tA/ m«.ÒEn.dEh tA/ pi mA.kAn k«.nu.Òi],Nenek kalau tidak memakai barang kemas yang banyak tidak akan pergi kenduri.,,,
2. hitam merujuk kepada warna kulit,"Baru dua minggu turon ke bendang, kulet pon mola merelit.",[bA.Òu du.wA miN.gu tu.Òon k« b«n.dAN ku.let pon m.lA m«.Ò«.lit],"Baru dua minggu turun ke sawah, kulit pun mula hitam.",,,
2. merungut,Apa yang hang dok meratuih sorang-sorang tu?,[A.pA jAN hAN dok m«.ÒA.tuC s.ÒAN.s.ÒAN tu],Apa yang awak sedang merunggut seorang diri?,,,
2. berkenaan dengan bercakap banyak dengan nada suara yang tinggi berkenaan perempuan,"Sora mami tu merancang, sakit telinga aku.",[s.ÒA mA.mi tu m«.ÒAn.tSAN sA.kit t«.li.NA A.ku],"Suara mami itu tinggi, sakit telinga saya.",,,
3. mencuri,Kalu budak-budak masok dalam kedai dia kira nak menyerama,[kA.lu bu.dA/.budA/ mA.so/ dA.lAm k«.dAj di.jA ki.ÒA nA/ m«.ø«.ÒA.mA],"Kalau budak-budak masuk ke dalam kedai, mereka asyik hendak mencuri.",,,
2. meraba-raba merujuk kepada kelakuan yang tidak seronok,Bila wayang dah setat tangan dia mola menyerama.,[bi.lA wA.jAN dAh s«.tAt tA.NAn di.jA m.lA m«.ø«.ÒA.mA],Bila wayang sudah bermula tangannya mula meraba.,,,
2. tidur melebihi had biasa atau pada waktu yang tidak sesuai; mereloh,"Dah pukoi berapa ni hang dok menereloh lagi, jom pi pasa malam.",[dAh pu.koj b«.ÒA.pA ni hAN do/ m«.n«.Ò«.loh lA.gi dZom pi pA.sA mA.lAm],"Pukul berapa sekarang awak masih tidur lagi, mari pergi pasar malam.",,,
2. rasa meluat atau benci,Naek melugai aku bila tengok perangai budak-budak muda tu.,[nAe/ m«.lu.gAj A.ku bi.lA tE.N/ p«.ÒA.NAj bu.dA/.bu.dA/ mu.dA tu],Naik meluat saya apabila melihat perangai budak- budak muda itu.,,,
4. melakukan sesuatu yang sia-sia,"Apa yang hang dok melangut berejam-rejam kat kedai, belambak reja kat rumah yang hang buleh buat.",[A.pA jAN hAN do/ m«.lA.Nut b«.Ò«.dZAm.Ò«.dZAm kAt k«.dAj b«.lAm.bA/ Ò«.dZA kAt Òu.mAh jAN hAN bu.leh bu.wAt],"Apa yang awak duduk di kedai sia-sia sahaja berjam-jam lamanya, banyak kerja di rumah yang awak boleh lakukan.",,,
3. mendengar perbualan orang lain,Depa dok melangut di situ masa orang dok besembang.,[dE.pA do/ m«.lA.Nut di si.tu mA.sA .ÒAN do/ b«.sem.bAN],Mereka sedang mendengar perbualan orang lain di situ semasa orang sedang berbual.,,,
2. termenung,Dari tadi dia dok melangut depan tingkap.,[dA.Òi tA.di di.jA do/ m«.lA.Nut d«.pAn tiN.kAp],Dari tadi dia duduk termenung di hadapan tingkap.,,,
2. menarik kulit bahagian hadapan kemaluan lelaki ke bahagian belakang.,,,,,,
2. berkenaan dengan pakaian yang licin dan tidak berkedut,Kalu guna seterika arang baju lagi lendet.,[kA.lu gu.nA s«.t«.Òi.kA A.ÒAN bA.dZu lA.gi l«n.det],Kalau menggunakan seterika arang baju lagi licin.,,,
2. berkenaan dengan perasaan seseorang yang tidak suka kepada seseorang atau sesuatu.,Lece la nak pi kedai tu pasai jaoh sangat,[lE.tSE lA nA/ pi k«.dAj tu pA.sAj dZAoh sA.NAt],Lecelah nak pergi kedai itu sebab terlalu jauh.,,,
2. menggunakan khidmat atau tenaga seseorang berlebih-lebihan.,Dia latu tukang masak dia tak padan dengan gaji.,[di.jA lA.tu tu.kAN mA.sA/ di.jA tA/ pA.dAn d«.NAn gA.dZi],Dia menggunakan tenaga orang gajinya tidak sepadan dengan gaji.,,,
3. ketawa bersungguh-sungguh,"Bila dia dengaq cerita tu, dia punya langgah sampai tekeluaq ayaq mata.",[bi.lA di.jA d«.NA)Ö tS«.Òi.tA tu di.jA pu.øA lAN.gAh sAm.pAj t«.k«.lu.wA))Ö A.jA)Ö mA.tA],"Apabila dia mendengar cerita itu, dia ketawa sehingga terkeluar air mata.",,,
2. menerpa pergi,"Bila dapat tau adek dia beretoh reta, dandan tu dia langgah.",[bi.lA dA.pAt tAw A.de/ di.jA b«.Ò«.toh ÒE.tA dAn.dAn tu di.jA lAN.gAh],Bila mendapat tahu adiknya berlanggar kereta serta-merta dia menerpa pergi.,,,
3. membuat dan menyesuaikan sesuatu,"Co hang lagang dulu alang tu, celuih dak?",[tS hAN lA.gAN du.lu A.lAN tu tS«.luC dA/],"Cuba awak sesuaikan dulu alang tu, muat atau tidak?",,,
2. merancang,"Menikah baru seminggu, mak mentua dah lagang suroh beli yang nu yang ni.",[m«.ni.kAh bA.Òu s«.miN.gu mA/ m«n.tu.wA dAh lA.gAN su.Òoh b«.li jAN nu jAN ni],"Menikah baru seminggu, mak mertua sudah merancang supaya membeli berbagai-bagai barang.",,,
3. terlalu buruk.,"Baju ni dah laeh sangat, baek buat kaen burok",[bA.dZu ni dAh lA.eh sA.NAt bAe/ bu.wAt kAen bu.Òo/],"Baju ini sangat buruk, elok dibuat kain buruk.",,,
2. tersangat miskin.,"Dia tu laeh sunggoh, nak beli beraih pon tak dak duet.",[di.jA tu lA.eh suN.goh nA/ b«.li b«.ÒAC pon tA/ dA/ du.wet],"Dia itu sangat miskin, hendak membeli beras pun tidak berwang.",,,
2. menyelerakkan sesuatu hingga bersepah.,"Lekaih angkat nasik, adek dok kucai nasik tu.",[l«.kAC AN.kAt nA.si/ A.de/ do/ ku.tSAj nA.si/ tu],"Cepat angkat nasi, adik sedang menyelerakkan nasi tu.",,,
2. kelindan,"Kolek baih reja dia kutek duet, tapi kolek lori reja jaga barang ataih lori.",[k.lEt bAC Ò«.dZA di.jA ku.te/ du.wet tA.pi k.lEt lo.Òi Ò«.dZA dZA.gA bA.ÒAN A.tAC lo.Òi],"Konduktor bas kerjanya kutip duit, tapi kelindan kerjanya menjaga barang di atas lori.",,,
"2. berkenaan dengan sesuatu (berkenaan buah, belon dan lain-lain) yang mengecil atau mengecut.",Limau nipeh lepaih jemoq tiga empat ari baru keset.,[li.mAw ni.peh l«.pAC dZ«.m)Ö ti.gA «m.pAt A.Òi bA.Òu k«.set],Limau nipis lepas dijemur tiga atau empat hari baru mengecut.,,,
"2.mengerumuni, menyerang dan memukul seseorang.",Bila depa dapat tangkap kawaq depa pakat kerutup.,[bi.lA dE.pA dA.pAt tAN.kAp kA.wA)Ö dE.pA pA.kAt k«.Òu.tup],"Bila mereka dapat tangkap pencuri mereka mengerumuni, menyerang dan memukul pencuri itu.",,,
2. mengopek sesuatu dengan perlahan menggunakan jari.,Lagi hang kerunaih kerupin lagi meroyak.,[lA.gi hAN k«.Òu.nAC k«.Òu.pin lA.gi m«.Òo.jA/],Semakin kamu kopek keruping semakin melarat.,,,
2. berkenaan dengan wajah yang masam.,"Lepaih kena jerekah dengan bos, dan-dan tu muka dia keromot.",[l«.pAC k«.nA dZ«.Ò«.kAh d«.NAn bos dAn.dAn tu mu.kA di.jA k«.Òo.mot],"Selepas dimarahi oleh ketuanya, wajahnya serta-merta masam.",,,
"2. membuat lubang pada sesuatu seperti buah, dinding, tanah dan lain-lain.","Awat hang tak kaet nyoq tu, habeh tupai kerobek.",[A.wAt hAN tA/ kAet ø)Ö tu hA.beh tu.pAj k«.Ò.bE/],"Mengapa awak tidak kait kelapa itu, habis tupai buat lubang.",,,
2. menaiki pada bahagian belakang seseorang,"Kalu masok lawan panjat tiang lincen, hampa kena pandai-pandai kerabat kawan.",[kA.lu mA.so/ lA.wAn pAn.dZAt ti.jAN lin.tSen hAm.pA k«.nA pAn.dAj.pAn.dAj k«.ÒA.bAt kA.wAn],"Kalau masuk perlawanan panjat tiang licin, kamu semua perlu pandai menaiki bahagian belakang kawan.",,,
2. berkenaan dengan seseorang yang tingkah lakunya kurang sopan atau tidak senonoh.,Keloloh sunggoh dia tu mai kentot depan kami.,[k«.l.lh suN.goh di.jA tu mAj k«n.tot d«.pAn kA.mi],Kurang sopan sungguh dia itu datang kentut depan kami.,,,
2. mengelakkan diri daripada tanggung jawab.,"Masa nak buat reja hang pandai kelepiaq, taim soru muka hang dulu.",[mA.sA nA/ bu.wAt Ò«.dZA hAN pAn.dAj k«.l«.pi.jA)Ö kAt tA.im s.ru mu.kA hAN du.lu],"Semasa hendak membuat kerja awak pandai mengelakkan diri, masa makan awak yang sampai dahulu.",,,
"2. menyelerak, menyepah-nyepah sesuatu seperti barang, perkakasan, rumput, makanan, pakaian dan lain-lain.","Kak baru suson baju, sapa pulak yang mai kecaq ni?",[kA/ bA.Òu su.son bA.dZu sA.pA pu.lA/ jAN mAj k«.tSA)Ö ni],"Kakak baru menyusun baju, siapa pula yang menyelerakkannya?",,,
3. mengambil atau membolot sesuatu secara tamak.,Mentang-mentang dia anak sulong habeh reta pesaka dia karau kat dia.,[m«n.tAN.m«n.tAN di.jA A.nA/ su.loN hA.beh Ò«.tA p«.sA.kA di.jA kA.ÒAw kAt di.jA],Mentang-mentang dia anak sulung habis harta pusaka dia bolot.,,,
